id,category,store,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
71017,LAPTOP,Anhoch,49980.0,49980.0,49980.0,49980.0,47980.0
71018,LAPTOP,Anhoch,49980.0,49980.0,49980.0,49980.0,49980.0
71019,LAPTOP,Anhoch,49980.0,49980.0,49980.0,49980.0,49980.0
71020,LAPTOP,Anhoch,49980.0,49980.0,49980.0,49980.0,49980.0
71021,LAPTOP,Anhoch,50680.0,50680.0,50680.0,50680.0,50680.0
71022,LAPTOP,Anhoch,50880.0,50880.0,50880.0,46980.0,46980.0
71023,LAPTOP,Anhoch,50980.0,50980.0,47980.0,47980.0,47980.0
71024,LAPTOP,Anhoch,50980.0,50980.0,50980.0,49980.0,49980.0
71025,LAPTOP,Anhoch,50980.0,50980.0,50980.0,50980.0,50980.0
71026,LAPTOP,Anhoch,50980.0,50980.0,50980.0,50980.0,50980.0
71027,LAPTOP,Anhoch,51980.0,51980.0,51980.0,51980.0,51980.0
71028,LAPTOP,Anhoch,51990.0,51990.0,51990.0,51990.0,51990.0
71029,LAPTOP,Anhoch,52980.0,52980.0,52980.0,52980.0,52980.0
71030,LAPTOP,Anhoch,52980.0,52980.0,52980.0,52980.0,52980.0
71032,LAPTOP,Anhoch,53980.0,53980.0,53980.0,53980.0,53980.0
71033,LAPTOP,Anhoch,53980.0,53980.0,53980.0,53980.0,53980.0
71034,LAPTOP,Anhoch,54980.0,52980.0,52980.0,52980.0,52980.0
71035,LAPTOP,Anhoch,54980.0,52980.0,52980.0,52980.0,52980.0
71036,LAPTOP,Anhoch,54980.0,52980.0,52980.0,52980.0,52980.0
71039,LAPTOP,Anhoch,54980.0,54980.0,54980.0,54980.0,54980.0
71040,LAPTOP,Anhoch,54980.0,54980.0,54980.0,54980.0,54980.0
71041,LAPTOP,Anhoch,55480.0,55480.0,55480.0,55480.0,55480.0
71043,LAPTOP,Anhoch,55980.0,55980.0,55980.0,55980.0,55980.0
71044,LAPTOP,Anhoch,56980.0,56980.0,56980.0,56980.0,56980.0
71045,LAPTOP,Anhoch,56980.0,56980.0,56980.0,56980.0,56980.0
71046,LAPTOP,Anhoch,56980.0,56980.0,56980.0,56980.0,55980.0
71047,LAPTOP,Anhoch,57980.0,57980.0,55980.0,55980.0,57980.0
71048,LAPTOP,Anhoch,59980.0,59980.0,59980.0,59980.0,59980.0
71049,LAPTOP,Anhoch,60980.0,60980.0,60980.0,60980.0,60980.0
71051,LAPTOP,Anhoch,60980.0,60980.0,60980.0,60980.0,60980.0
71052,LAPTOP,Anhoch,60980.0,60980.0,60980.0,60980.0,60980.0
71053,LAPTOP,Anhoch,60980.0,60980.0,60980.0,60980.0,60980.0
71054,LAPTOP,Anhoch,61980.0,61980.0,59980.0,59980.0,59980.0
71055,LAPTOP,Anhoch,61980.0,61980.0,61980.0,61980.0,61980.0
71056,LAPTOP,Anhoch,61980.0,61980.0,61980.0,61980.0,61980.0
