name,link,image,regular_price,category,store,date,discount_price
"Notebook Lenovo IP3 3020E 8GB/256GB SSD/Vega3/15.6"" HD LED/DOS/UltraSlim/Grey",https://www.anhoch.com/product/599271497/notebook-lenovo-ip3-3020e-8gb256gb-ssdvega3156-hd-leddosultraslimgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/756137529.lenovo-ideapad-3-81w100d5rm.jpg,13480,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G8 N4020 4GB/256GB/Intel UHD/15.6"" HD/RJ45/USB-C/DOS",https://www.anhoch.com/product/599270067/notebook-hp-250-g8-n4020-4gb256gbintel-uhd156-hdrj45usb-cdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/2x7t8ea_1.jpg,13580,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer EX215 N4120 4GB/256GB SSD/GigaLAN/15.6"" FullHD IPS/DOS/Black",https://www.anhoch.com/product/599269414/notebook-acer-ex215-n4120-4gb256gb-ssdgigalan156-fullhd-ipsdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/nx.eftex.01d_1.jpg,14580,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G8 N4020 8GB/256GB/Intel UHD/15.6"" HD/RJ45/USB-C/DOS",https://www.anhoch.com/product/599270536/notebook-hp-250-g8-n4020-8gb256gbintel-uhd156-hdrj45usb-cdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/2x7t8ea_1.jpg,14580,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer EX215 N5100 4GB/256GB SSD/15.6"" FullHD IPS/GigaLAN/DOS/Black",https://www.anhoch.com/product/599269681/notebook-acer-ex215-n5100-4gb256gb-ssd156-fullhd-ipsgigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/extensa-15-ex215-32-bk_gallery_02.jpg,14780,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 6305 8GB/256GB/15.6"" FullHD AD 250N/DOS/ArcticGray",https://www.anhoch.com/product/599270725/notebook-lenovo-ip3-6305-8gb256gb156-fullhd-ad-250ndosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/ld0005927658_1-k200.jpg,14780,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer A315 A4-9120e 4GB/128GB SSD/15.6"" HD LED/GigaLAN/Black/DOS",https://www.anhoch.com/product/599268815/notebook-acer-a315-a4-9120e-4gb128gb-ssd156-hd-ledgigalanblackdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/27012021170848on-r3-endless-crni-2-cell_q7qgt.jpg,14980,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer EX215 N5100 8GB/256GB SSD/15.6"" FullHD IPS/GigaLAN/DOS/Black",https://www.anhoch.com/product/599271294/notebook-acer-ex215-n5100-8gb256gb-ssd156-fullhd-ipsgigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/extensa-15-ex215-32-bk_gallery_02.jpg,16480,LAPTOP,Anhoch,2023-09-09,
"Notebook Toshiba Dynabook Tecra A30 5205U/4GB/128GB SSD/13.3"" FHD LED/Win10Pro",https://www.anhoch.com/product/599873079/notebook-toshiba-dynabook-tecra-a30-5205u4gb128gb-ssd133-fhd-ledwin10pro,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/psz20u2dm01p.jpg,16580,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G8 i3-1005G1 4GB/256GB/15.6"" HD LED/GigaLAN/Type-C/DOS/Black",https://www.anhoch.com/product/599270656/notebook-hp-250-g8-i3-1005g1-4gb256gb156-hd-ledgigalantype-cdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/2x7t8ea_1.jpg,16580,LAPTOP,Anhoch,2023-09-09,
"Notebook Asus M515DA R3 3250U/4GB/256GB SSD/15.6"" FHD IPS/Backlit Kb/DOS",https://www.anhoch.com/product/599877560/notebook-asus-m515da-r3-3250u4gb256gb-ssd156-fhd-ipsbacklit-kbdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/m515dabq1243.jpg,16980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15 i3-1115G4 4GB/256GB/15.6"" FullHD/GigaLAN/DOS/DarkGray",https://www.anhoch.com/product/599270579/notebook-hp-15-i3-1115g4-4gb256gb156-fullhdgigalandosdarkgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/d379ff78-saca1300-2.jpg,16980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s Ryzen3 5300U 4GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270563/notebook-hp-15s-ryzen3-5300u-4gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800.jpg,17380,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Pentium7505 4GB/256GB/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269542/notebook-lenovo-ip3-pentium7505-4gb256gb156-fullhddosultraslimgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/17122021134234ideapad315itl6.jpg,18280,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Pentium 7505 4GB/256GB SSD/15.6"" FullHD TN AG/DOS",https://www.anhoch.com/product/599269726/notebook-lenovo-ip3-pentium-7505-4gb256gb-ssd156-fullhd-tn-agdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,18280,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i3-1115G4 4GB/256GB/15.6"" FullHD/1MP Cam/Arctic Gray/DOS",https://www.anhoch.com/product/599270213/notebook-lenovo-ip3-i3-1115g4-4gb256gb156-fullhd1mp-camarctic-graydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h80073rm_1.jpg,18580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i3-1115G4 4GB/256GB/15.6"" FullHD/DOS/Sand",https://www.anhoch.com/product/599270708/notebook-lenovo-ip3-i3-1115g4-4gb256gb156-fullhddossand,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,18580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Ryzen3 3250U 4GB/256GB SSD/15.6"" FullHD TN AG/DOS/ArcticGray",https://www.anhoch.com/product/599269725/notebook-lenovo-ip3-ryzen3-3250u-4gb256gb-ssd156-fullhd-tn-agdosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/1202202213141734.jpg,19180,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i3-1115G4 8GB/256GB/15.6"" FullHD/1MP Cam/Arctic Gray/DOS",https://www.anhoch.com/product/599271379/notebook-lenovo-ip3-i3-1115g4-8gb256gb156-fullhd1mp-camarctic-graydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h80073rm_1.jpg,19480,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i3-1115G4 8GB/256GB/15.6"" FullHD IPS/TPM/DOS/Sand",https://www.anhoch.com/product/599271346/notebook-lenovo-ip3-i3-1115g4-8gb256gb156-fullhd-ipstpmdossand,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,19480,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i3-1115G4 8GB/256GB/15.6"" FullHD/DOS/Sand",https://www.anhoch.com/product/599271380/notebook-lenovo-ip3-i3-1115g4-8gb256gb156-fullhddossand,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,19480,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 14 i3-1005G1/4GB/128GB SSD/14"" HD Microedge LED/Win10/Silver",https://www.anhoch.com/product/599869330/notebook-hp-14-i3-1005g14gb128gb-ssd14-hd-microedge-ledwin10silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/8bd79ua.jpg,19980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G8 i3-1115G4 8GB/256GB SSD/15.6"" FullHD IPS/RJ45/Cam/3Cell/1.74Kg/DOS",https://www.anhoch.com/product/599269911/notebook-hp-250-g8-i3-1115g4-8gb256gb-ssd156-fullhd-ipsrj45cam3cell174kgdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/120220221305061.jpg,19980,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer Aspire A315 Ryzen3 3250U 12GB/256GB SSD/GigaLAN/15.6"" FullHD IPS/DOS/Black",https://www.anhoch.com/product/599270807/notebook-acer-aspire-a315-ryzen3-3250u-12gb256gb-ssdgigalan156-fullhd-ipsdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/54981.jpg,19980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G8 i3-1005G1 8GB/256GB/15.6"" HD LED/GigaLAN/Type-C/DOS/Black",https://www.anhoch.com/product/599270897/notebook-hp-250-g8-i3-1005g1-8gb256gb156-hd-ledgigalantype-cdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/2x7t8ea_1.jpg,19980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s Ryzen3-5300U 8GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270578/notebook-hp-15s-ryzen3-5300u-8gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81ne5qkme8l._sx355_.jpg,20580,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s Ryzen3 5300U/8GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270817/notebook-hp-15s-ryzen3-5300u8gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800.jpg,20580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo V15 G4 Ryzen3 7320U/8GB/256GB/15.6"" FHD/Win11/Black",https://www.anhoch.com/product/599879893/notebook-lenovo-v15-g4-ryzen3-7320u8gb256gb156-fhdwin11black,https://www.anhoch.com/img/no_image.jpg,20880,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IdeaPad 1 Ryzen3 7320U/8GB/512GB SSD/15.6"" FHD/DOS",https://www.anhoch.com/product/599271256/notebook-lenovo-ideapad-1-ryzen3-7320u8gb512gb-ssd156-fhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82vg006erm.jpg,20880,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Ryzen3 5300U 4GB/256GB SSD/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269543/notebook-lenovo-ip3-ryzen3-5300u-4gb256gb-ssd156-fullhddosultraslimgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/lenovoideapad3-15alc6__1__01.jpg,20980,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer Aspire A315 Ryzen5 3500U 8GB/256GB SSD/GigaLAN/15.6"" FullHD/DOS/Black",https://www.anhoch.com/product/599270635/notebook-acer-aspire-a315-ryzen5-3500u-8gb256gb-ssdgigalan156-fullhddosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/54981.jpg,20980,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo V15 G2 Ryzen3 5300U 4GB/256GB/15.6"" FullHD TN/GigaLAN/DOS/Black",https://www.anhoch.com/product/599270589/notebook-lenovo-v15-g2-ryzen3-5300u-4gb256gb156-fullhd-tngigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82kb00carm.jpg,20980,LAPTOP,Anhoch,2023-09-09,
"Notebook Asus VivoBook 15 X1500EA i3-1115G4/8GB/256GB/15.6"" FHD IPS/Backlit KB/DOS",https://www.anhoch.com/product/599878163/notebook-asus-vivobook-15-x1500ea-i3-1115g48gb256gb156-fhd-ipsbacklit-kbdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/asus_x1500ea_black_4_ea24afa4.jpg,20980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G9 i3-1215U 8GB/256GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Dark Silver",https://www.anhoch.com/product/599270995/notebook-hp-250-g9-i3-1215u-8gb256gb156-fhd-agintel-uhdgigalantype-cdosdark-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,20980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G9 i3-1215U 8GB/256GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/Silver",https://www.anhoch.com/product/599271162/notebook-hp-250-g9-i3-1215u-8gb256gb156-fhd-agiris-xegigalantype-cdossilver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/6f1z7ea.jpg,21580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i3-1115G4 8GB/512GB/15.6"" FullHD/DOS/Blue",https://www.anhoch.com/product/599271232/notebook-lenovo-ip3-i3-1115g4-8gb512gb156-fullhddosblue,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h900sbrm.jpg,21580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Ryzen3 5300U 8GB/256GB SSD/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269544/notebook-lenovo-ip3-ryzen3-5300u-8gb256gb-ssd156-fullhddosultraslimgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/16122021155425lenovoideapad3-15alc6__1__01.jpg,21980,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer EX215 Ryzen5 3500U 8GB/256GB SSD/15.6"" FullHD/Cam/RJ45/Linux",https://www.anhoch.com/product/599269880/notebook-acer-ex215-ryzen5-3500u-8gb256gb-ssd156-fullhdcamrj45linux,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/nx.eg9ex.00e_1.jpg,21980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s Ryzen5 5500U 8GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270759/notebook-hp-15s-ryzen5-5500u-8gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/244s5ea_1.jpg,22580,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s i3-1215U 8GB/256GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Blue",https://www.anhoch.com/product/599271172/notebook-hp-15s-i3-1215u-8gb256gb156-fhd-agintel-uhdgigalantype-cdosblue,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/802s9ea.jpg,22580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo V15 G3 i3-1215U/8GB/256GB SSD/15.6"" FHD/DOS",https://www.anhoch.com/product/599878631/notebook-lenovo-v15-g3-i3-1215u8gb256gb-ssd156-fhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82tt009yrm.jpg,22980,LAPTOP,Anhoch,2023-09-09,
"Notebook Asus ExpertBook B1500CEAE i3-1115G4/8GB/256GB/15.6"" FHD IPS/Backlit KB/Win10Pro",https://www.anhoch.com/product/599879064/notebook-asus-expertbook-b1500ceae-i3-1115g48gb256gb156-fhd-ipsbacklit-kbwin10pro,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/asus_expertbook_1.jpg,22980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Silver",https://www.anhoch.com/product/599271438/notebook-hp-15-ryzen3-7320u8gb512gb156-fullhd-ipsdossilver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/88x04ea.jpg,22980,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IdeaPad 1 Ryzen5 7520U/8GB/512GB SSD/15.6"" FHD/DOS",https://www.anhoch.com/product/599270997/notebook-lenovo-ideapad-1-ryzen5-7520u8gb512gb-ssd156-fhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82vg006erm.jpg,23480,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 255 G9 Ryzen5 5625U/8GB/512GB SSD/15.6"" FHD 250N/DOS",https://www.anhoch.com/product/599271171/notebook-hp-255-g9-ryzen5-5625u8gb512gb-ssd156-fhd-250ndos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,22980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 14s Ryzen3 5300U 8GB/256GB SSD/14"" FullHD IPS/DOS/Snowflake White",https://www.anhoch.com/product/599270952/notebook-hp-14s-ryzen3-5300u-8gb256gb-ssd14-fullhd-ipsdossnowflake-white,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp_14s_white.jpg,24180,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 14s i3-1215U 8GB/256GB SSD/14"" HD AG/DOS/Snowflake White",https://www.anhoch.com/product/599271302/notebook-hp-14s-i3-1215u-8gb256gb-ssd14-hd-agdossnowflake-white,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp_14s_white.jpg,24180,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s Ryzen5 5500U 8GB/512GB/GigaLAN/15.6"" FullHD/DOS/Jet Black",https://www.anhoch.com/product/599270953/notebook-hp-15s-ryzen5-5500u-8gb512gbgigalan156-fullhddosjet-black,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800.jpg,24680,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i5-1155G7 8GB/256GB/15.6"" FullHD/TPM/DOS/Grey",https://www.anhoch.com/product/599271040/notebook-lenovo-ip3-i5-1155g7-8gb256gb156-fullhdtpmdosgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81we00t2rm-1.jpg,25480,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo V15 G2 Ryzen5 5500U/8GB/512GB/15.6"" FHD/Win11/Black",https://www.anhoch.com/product/599879003/notebook-lenovo-v15-g2-ryzen5-5500u8gb512gb156-fhdwin11black,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82kd0044rm.jpg,25980,LAPTOP,Anhoch,2023-09-09,
"Notebook Asus VivoBook 15 X1500EA i5-1135G7/8GB/512GB/15.6"" FHD IPS/Backlit KB/DOS",https://www.anhoch.com/product/599877827/notebook-asus-vivobook-15-x1500ea-i5-1135g78gb512gb156-fhd-ipsbacklit-kbdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/asus_x1500ea_black_4_ea24afa4.jpg,26480,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i5-1155G7 8GB/512GB/15.6"" FullHD IPS/TPM/DOS/Grey",https://www.anhoch.com/product/599270706/notebook-lenovo-ip3-i5-1155g7-8gb512gb156-fullhd-ipstpmdosgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81we00t2rm-1.jpg,26580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Ryzen5 5625U 16GB/512GB/15.6"" FullHD IPS/DOS/MistyBlue",https://www.anhoch.com/product/599271347/notebook-lenovo-ip3-ryzen5-5625u-16gb512gb156-fullhd-ipsdosmistyblue,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82rn007prm.jpg,26580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i5-1155G7 12GB/512GB/15.6"" FullHD AG 250/TPM/DOS/Grey",https://www.anhoch.com/product/599271410/notebook-lenovo-ip3-i5-1155g7-12gb512gb156-fullhd-ag-250tpmdosgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81we00t2rm-1.jpg,26580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 Ryzen7 3700U 8GB/512GB/15.6"" FullHD IPS/Arctic Gray/DOS",https://www.anhoch.com/product/599270214/notebook-lenovo-ip3-ryzen7-3700u-8gb512gb156-fullhd-ipsarctic-graydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82kr004prm_1.jpg,27980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G9 i5-1235U 8GB/256GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/Dark Silver",https://www.anhoch.com/product/599271075/notebook-hp-250-g9-i5-1235u-8gb256gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,27980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 250 G9 i5-1235U 8GB/512GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/Dark Silver",https://www.anhoch.com/product/599271224/notebook-hp-250-g9-i5-1235u-8gb512gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/6f1z7ea.jpg,28480,LAPTOP,Anhoch,2023-09-09,
"Notebook Dell Vostro 3515 Ryzen5 3450U 8GB/256GB SSD/Vega8/15.6"" FullHD/BacklitKB/Ubuntu",https://www.anhoch.com/product/599269607/notebook-dell-vostro-3515-ryzen5-3450u-8gb256gb-ssdvega8156-fullhdbacklitkbubuntu,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/vostro3515r5_1.jpg,28580,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15 Ryzen5 7520U/16GB/512GB SSD/15.6"" FHD IPS AG 250nits/DOS/Natural Silver",https://www.anhoch.com/product/599271450/notebook-hp-15-ryzen5-7520u16gb512gb-ssd156-fhd-ips-ag-250nitsdosnatural-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/88x04ea.jpg,28580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 i5-1135G7 8GB/512GB/17.3"" HD+ TN/TPM/Gray/DOS",https://www.anhoch.com/product/599270712/notebook-lenovo-ip3-i5-1135g7-8gb512gb173-hd-tntpmgraydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h9005hrm_1.jpg,28980,LAPTOP,Anhoch,2023-09-09,
"Notebook Dell Vostro 3510 i5-1135G7 8GB/512GB SSD/Intel UHD/15.6"" FullHD/BacklitKB/3Cell/Linux",https://www.anhoch.com/product/599270768/notebook-dell-vostro-3510-i5-1135g7-8gb512gb-ssdintel-uhd156-fullhdbacklitkb3celllinux,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/280920211327072.jpg,29980,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo V15 G3 Ryzen5 5625U 8GB/512GB SSD/15.6"" FullHD TN/GigaLAN/DOS/Black",https://www.anhoch.com/product/599879659/notebook-lenovo-v15-g3-ryzen5-5625u-8gb512gb-ssd156-fullhd-tngigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82tv004krm_1.jpg,29980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 15s i5-1235U/8GB/512GB SSD/15.6"" FHD SVA AG 250nits/DOS/Snowflake White",https://www.anhoch.com/product/599271339/notebook-hp-15s-i5-1235u8gb512gb-ssd156-fhd-sva-ag-250nitsdossnowflake-white,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/7k5k4ea.jpg,30580,LAPTOP,Anhoch,2023-09-09,
