name,link,image,regular_price,discount_price,category,store,date
Лаптоп HP 250 G9 i3-1215U/8GB/512GB 6S775EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i3-1215U-8GB-512GB-6S775EA,https://www.neptun.mk/2023/04/28/6S775EA_f8b0731c-1f3a-4b22-ae76-510b84255f3a.JPG?width=192,28999,22999.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO IdeaPad 1 15AMN7 R5-7520U/8GB DDR5/512GB 82VG006ERM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-1-15AMN7-R5-7520U-8GB-DDR5-512GB-82VG006ERM,https://www.neptun.mk/2023/04/10/ipad_1.JPG?width=192,30999,23499.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 255 G9 R5-5625U/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-255-G9-R5-5625U-8GB-512GB-5Y3X5EA,https://www.neptun.mk/2023/01/20/c07972060.png?width=192,33999,23499.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s fq5346nia i3-1215U/8GB/512GB 7K5K5EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-fq5346nia-i3-1215U-8GB-512GB-7K5K5EA,https://www.neptun.mk/2023/03/29/77.JPG?width=192,29999,23799.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s fq2003nia i5-1135G7/8GB/256GB 3B3J5EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-i5-1135G7-8GB-256GB-3B3J5EA,https://www.neptun.mk/2022/06/23/c07966207_f041ae3f-8f5b-4f9b-a2a1-c6976e518b07.jpg?width=192,34999,23995.0,LAPTOP,Neptun,2023-10-11
"Лаптоп ASUS Vivobook 16 X1605ZA-MB321 16"" i3-1215U/8GB/512GB",https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-Vivobook-16-X1605ZA-MB321-16--i3-1215U-8GB-512GB,https://www.neptun.mk/2023/05/11/X1605ZA-MB321_1da8d6e3-73a2-49cc-ad9a-d4efb27aa944.JPG?width=192,28999,23999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 250 G10 i3-1315U/8GB/512GB 85C52EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G10-i3-1315U-8GB-512GB-85C52EA,https://www.neptun.mk/2023/10/06/Hp2_5b404e11-dbc8-40cd-81e6-8af03c9ce140.JPG?width=192,25999,24499.0,LAPTOP,Neptun,2023-10-11
"Лаптоп ASUS X415EA-EB321 14"" i3-1115G4/8GB/512GB",https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-X415EA-EB321-14--i3-1115G4-8GB-512GB,https://www.neptun.mk/2023/02/23/acerrr.JPG?width=192,26999,24499.0,LAPTOP,Neptun,2023-10-11
"Лаптоп HP 250 G9 i3-1215U/16GB/512GB 6S7B4EA, 15.6"", Bluetooth® 5.0",https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i3-1215U-16GB-512GB-6S7B4EA,https://www.neptun.mk/2023/03/27/5.JPG?width=192,29999,24499.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS Vivobook 15 X1504VA-BQ322 i3-1315U/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-Vivobook-15-X1504VA-BQ322-i3-1315U-8GB-512GB,https://www.neptun.mk/2023/09/06/Asus_2087670d-f283-47b4-969f-08090c7025fb.JPG?width=192,27999,24599.0,LAPTOP,Neptun,2023-10-11
