name,link,image,regular_price,category,store,date
"Notebook Acer EX215 Ryzen5 3500U 8GB/256GB SSD/15.6"" FullHD/Cam/RJ45/Linux",https://www.anhoch.com/product/599269880/notebook-acer-ex215-ryzen5-3500u-8gb256gb-ssd156-fullhdcamrj45linux,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/nx.eg9ex.00e_1.jpg,21980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15s Ryzen5 5500U 8GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270759/notebook-hp-15s-ryzen5-5500u-8gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/244s5ea_1.jpg,22580,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15s i3-1215U 8GB/256GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Blue",https://www.anhoch.com/product/599271172/notebook-hp-15s-i3-1215u-8gb256gb156-fhd-agintel-uhdgigalantype-cdosblue,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/802s9ea.jpg,22580,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IdeaPad 1 Ryzen5 7520U/8GB/512GB SSD/15.6"" FHD/DOS",https://www.anhoch.com/product/599270997/notebook-lenovo-ideapad-1-ryzen5-7520u8gb512gb-ssd156-fhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82vg006erm.jpg,22880,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo V15 G3 i3-1215U/8GB/256GB SSD/15.6"" FHD/DOS",https://www.anhoch.com/product/599878631/notebook-lenovo-v15-g3-i3-1215u8gb256gb-ssd156-fhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82tt009yrm.jpg,22980,LAPTOP,Anhoch,2023-10-11
"Notebook Asus ExpertBook B1500CEAE i3-1115G4/8GB/256GB/15.6"" FHD IPS/Backlit KB/Win10Pro",https://www.anhoch.com/product/599879064/notebook-asus-expertbook-b1500ceae-i3-1115g48gb256gb156-fhd-ipsbacklit-kbwin10pro,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/asus_expertbook_1.jpg,22980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Silver",https://www.anhoch.com/product/599271438/notebook-hp-15-ryzen3-7320u8gb512gb156-fullhd-ipsdossilver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/88x04ea.jpg,22980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 255 G9 Ryzen5 5625U/8GB/512GB SSD/15.6"" FHD 250N/DOS",https://www.anhoch.com/product/599271171/notebook-hp-255-g9-ryzen5-5625u8gb512gb-ssd156-fhd-250ndos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,23580,LAPTOP,Anhoch,2023-10-11
"Notebook HP 14s Ryzen3 5300U 8GB/256GB SSD/14"" FullHD IPS/DOS/Snowflake White",https://www.anhoch.com/product/599270952/notebook-hp-14s-ryzen3-5300u-8gb256gb-ssd14-fullhd-ipsdossnowflake-white,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp_14s_white.jpg,24180,LAPTOP,Anhoch,2023-10-11
"Notebook HP 14s i3-1215U 8GB/256GB SSD/14"" HD AG/DOS/Snowflake White",https://www.anhoch.com/product/599271302/notebook-hp-14s-i3-1215u-8gb256gb-ssd14-hd-agdossnowflake-white,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp_14s_white.jpg,24180,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15s Ryzen5 5500U 8GB/512GB/GigaLAN/15.6"" FullHD/DOS/Jet Black",https://www.anhoch.com/product/599270953/notebook-hp-15s-ryzen5-5500u-8gb512gbgigalan156-fullhddosjet-black,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800.jpg,24680,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i5-1155G7 8GB/256GB/15.6"" FullHD/TPM/DOS/Grey",https://www.anhoch.com/product/599271040/notebook-lenovo-ip3-i5-1155g7-8gb256gb156-fullhdtpmdosgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81we00t2rm-1.jpg,25480,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo V15 G2 Ryzen5 5500U/8GB/512GB/15.6"" FHD/Win11/Black",https://www.anhoch.com/product/599879003/notebook-lenovo-v15-g2-ryzen5-5500u8gb512gb156-fhdwin11black,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82kd0044rm.jpg,25980,LAPTOP,Anhoch,2023-10-11
"Notebook Asus VivoBook 15 X1500EA i5-1135G7/8GB/512GB/15.6"" FHD IPS/Backlit KB/DOS",https://www.anhoch.com/product/599877827/notebook-asus-vivobook-15-x1500ea-i5-1135g78gb512gb156-fhd-ipsbacklit-kbdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/asus_x1500ea_black_4_ea24afa4.jpg,26480,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Ryzen5 5625U 16GB/512GB/15.6"" FullHD IPS/DOS/MistyBlue",https://www.anhoch.com/product/599271347/notebook-lenovo-ip3-ryzen5-5625u-16gb512gb156-fullhd-ipsdosmistyblue,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82rn007prm.jpg,26580,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i5-1155G7 12GB/512GB/15.6"" FullHD AG 250/TPM/DOS/Grey",https://www.anhoch.com/product/599271410/notebook-lenovo-ip3-i5-1155g7-12gb512gb156-fullhd-ag-250tpmdosgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81we00t2rm-1.jpg,26580,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo V15 G3 Ryzen5 5625U 8GB/512GB SSD/15.6"" FullHD TN/GigaLAN/DOS/Black",https://www.anhoch.com/product/599879659/notebook-lenovo-v15-g3-ryzen5-5625u-8gb512gb-ssd156-fullhd-tngigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82tv004krm_1.jpg,26980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Ryzen7 3700U 8GB/512GB/15.6"" FullHD IPS/Arctic Gray/DOS",https://www.anhoch.com/product/599270214/notebook-lenovo-ip3-ryzen7-3700u-8gb512gb156-fullhd-ipsarctic-graydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82kr004prm_1.jpg,27980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 250 G9 i5-1235U 8GB/256GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/Dark Silver",https://www.anhoch.com/product/599271075/notebook-hp-250-g9-i5-1235u-8gb256gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,27980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 250 G9 i5-1235U 8GB/512GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/Dark Silver",https://www.anhoch.com/product/599271224/notebook-hp-250-g9-i5-1235u-8gb512gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/6f1z7ea.jpg,28480,LAPTOP,Anhoch,2023-10-11
"Notebook Dell Vostro 3515 Ryzen5 3450U 8GB/256GB SSD/Vega8/15.6"" FullHD/BacklitKB/Ubuntu",https://www.anhoch.com/product/599269607/notebook-dell-vostro-3515-ryzen5-3450u-8gb256gb-ssdvega8156-fullhdbacklitkbubuntu,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/vostro3515r5_1.jpg,28580,LAPTOP,Anhoch,2023-10-11
